epoch,train_loss,train_acc,val_loss,val_acc
1,0.4498886551395292,0.525,0.10012412584428654,0.85
2,0.03859410411975209,0.95,0.035543398975052556,0.95
3,0.017572044647752683,0.98,0.010986476716738065,0.99
4,0.017082236154892447,0.98,0.008482616048184705,0.99
5,0.008128290957842873,1.0,0.007179443474236471,1.0
