epoch,train_loss,train_acc,val_loss,val_acc
1,0.4498886551395292,0.525,0.10012412584428651,0.85
2,0.037451914228099493,0.95,0.06513754512257534,0.9
3,0.024372194996393766,0.975,0.045831887394663394,0.95
4,0.017357201678426595,0.975,0.03463854261133416,1.0
5,0.012740158208926562,0.9875,0.02780053525505379,1.0
